,0,1,2,3,4,5,6,7,8,9,10,11
130,129,LP:42239, A M L P S Kovoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9895889136 ,  ,Location map
131,130,LP:42240, M V L P S Manthara ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9495045224 ,  ,Location map
132,131,LP:42241, L M S L P S Varkala ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9446846457 ,  ,Location map
133,132,LP:42242, G L P G S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 5,04702656333 ,  ,Location map
134,133,UP:42243, G U P S Ayiroor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 7,04702665526 ,  ,Location map
135,134,UP:42244, G M U P S Edava ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 7,04702660515 ,  ,Location map
136,135,UP:42245, G U P S Nilakkamukku ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 7,04702653838 ,  ,Location map
137,136,UP:42246, H H T M U P S Palachira ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 7,9446283945 ,  ,Location map
138,137,UP:42247, Prabodhini U P S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 7,04702560805 ,  ,Location map
139,138,UP:42248, L V U P S Venkulam ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 7,04702661919 ,  ,Location map
140,139,UP:42249, A M U P S Ayiror ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702665144 ,  ,Location map
141,140,UP:42250, U P S Elakamon ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,2665040 ,  ,Location map
142,141,UP:42251, St.Sebastian`s U P S Mudiacode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  5 -7,04702611446 ,  ,Location map
143,142,UP:42252, St.Thomas U P S Ayiroor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702665170 ,  ,Location map
144,143,UP:42253, R K M U P S Muthana ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702696422 ,  ,Location map
145,144,UP:42254, H V U P S KURAKKANI ,,Varkala(M),"Attingal *
",Varkala,Aided,  5 -7,7012024542 ,  ,Location map
146,145,UP:42255, A M T T I Vilabhagam ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  5 -7,04702608490 ,  ,Location map
147,146,LP:42256," Jyothis Trinity School,Kovur,Varkala ",Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 4,9495301384 ,  ,Not Available
148,147,UP:42270," Light to the blind, varkala ",,Varkala(M),"Attingal *
",Varkala,Aided,  1 - 7,04702602367 ,  ,Location map
149,148,HS:42271, Sivagiri Sree Narayana Senior Secondary School Varkala ,,Varkala(M),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702604271 ,  ,Not Available
150,149,HS:42273, MAHATMA GANDHI MEMORIAL MODEL SCHOOL Varkala ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702602193 ,  ,Not Available
151,150,HS:42283, Shanthiniketan School Kunnumpuram ,Nemom,Thiruvananthapuram(P),"Attingal *
",Kattakkada,Unaided Recognised,  1 - 12,04712270299 ,  ,Not Available
152,151,LP:42301, L M S L P S Attingal ,,Attingal(M),"Attingal *
",Attingal,Aided,  1 - 4,04702624526 ,  ,Location map
153,152,LP:42302, Govt. L P S Keezhattingal ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,04702620503 ,  ,Location map
154,153,LP:42303, Govt. L P S Andoor ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,627026 ,  ,Location map
155,154,LP:42304, Govt. L P S Attingal ,,Attingal(M),"Attingal *
",Attingal,Government,  1 - 5,04702623726 ,  ,Location map
156,155,LP:42305, Govt. L P S Melattingal ,,Attingal(M),"Attingal *
",Attingal,Government,  1 - 5,8281624869 ,  ,Location map
157,156,LP:42306, Govt. L P S Melkadakkavur ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 5,04702620293 ,  ,Location map
158,157,LP:42307, Govt.L P S Elampa ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,2639555 ,  ,Location map
159,158,LP:42308, Govt. L P S Alamcode ,,Attingal(M),"Attingal *
",Attingal,Government,  1 - 4,9745453776 ,  ,Location map
160,159,LP:42309, Govt. L P S Madathuvathukkal ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,2821561 ,  ,Location map
161,160,LP:42310, P T M L P S Kumpalathumpara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 4,9946152978 ,  ,Location map
162,161,LP:42311, Govt. L P S Njekkad ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702694171 ,  ,Location map
163,162,LP:42312, Govt. L P S Mullaramcode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702691515 ,  ,Location map
164,163,LP:42313, Govt. L P S Ottoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702688245 ,  ,Location map
165,164,LP:42314, R M L P S Mananakku ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  1 - 4,9447075091 ,  ,Location map
166,165,LP:42315, A M L P S Perumkulam ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702687469 ,  ,Location map
167,166,LP:42316, Govt. L P S Kulamuttom ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9539022342 ,  ,Location map
